brand_id,name,price,calories
1,蜜漬白玉丸,10,261
1,erer益生菌,25,NULL
1,燕麥奶,0,NULL
3,白玉珍珠,10,163
3,脆啵啵球,15,55
3,綠茶凍,10,40
2,草仔粿,15,281
2,招牌粉粿,15,155
2,琥珀粉圓,20,245
2,蘆薈,20,98
2,嫩仙草,10,88
2,雙粉（粉粿＋粉圓）,15,200
3,桂香粉粿,15,60
3,仙草凍,10,49
